"nie_malla_modi_id","var"
"1666300","scd"
"1668702","scd"
"1671279","scd"
"1671280","scd"
"1673682","scd"
"1673683","scd"
"1709716","scd"
"1709717","scd"
"1709718","scd"
"1712116","scd"
"1712117","scd"
"1712118","scd"
"1712119","scd"
"1712120","scd"
"1714517","scd"
"1714518","scd"
"1714523","scd"
"1714524","scd"
"1716917","scd"
"1716919","scd"
"1716920","scd"
"1716925","scd"
"1716926","scd"
"1716927","scd"
"1719319","scd"
"1719326","scd"
"1719327","scd"
"1719328","scd"
"1719329","scd"
"1721728","scd"
"1721729","scd"
"1724113","scd"
"1724121","scd"
"1724122","scd"
"1724127","scd"
"1724128","scd"
"1724129","scd"
"1724130","scd"
"1724135","scd"
"1726514","scd"
"1726521","scd"
"1726524","scd"
"1726525","scd"
"1726529","scd"
"1726530","scd"
"1726531","scd"
"1726535","scd"
"1728914","scd"
"1728915","scd"
"1728916","scd"
"1728933","scd"
"1728934","scd"
"1728939","scd"
"1728940","scd"
"1731335","scd"
"1731336","scd"
"1731341","scd"
"1731342","scd"
"1733734","scd"
"1733735","scd"
"1733737","scd"
"1733738","scd"
"1733741","scd"
"1733742","scd"
"1733743","scd"
"1733744","scd"
"1736143","scd"
"1736144","scd"
"1736145","scd"
"1736146","scd"
"1738545","scd"
"1738546","scd"
"1738548","scd"
"1738549","scd"
