"basin_name","mean","sd","se","variable"
"Adra",-0.153991570073762,0.129927592349569,0.00421762812375144,"tau_scd"
"Andarax",-0.178158031088083,0.134709534440737,0.00395862219681275,"tau_scd"
"Fardes",-0.150931877729258,0.155269415884603,0.00458863143387387,"tau_scd"
"Genil",-0.116456140350877,0.17483465298437,0.00531267547180005,"tau_scd"
"Guadalfeo",-0.161401946472019,0.156646784793314,0.00345553719656272,"tau_scd"
"Adra",-1.21212644889357,1.33057044444197,0.0431921443754013,"sen_slope_scd"
"Andarax",-1.16511571675302,1.1878035897219,0.0349052179212717,"sen_slope_scd"
"Fardes",-1.25629781659389,1.4507479531746,0.0428735280714434,"sen_slope_scd"
"Genil",-1.22708402585411,1.61616565332765,0.0491101934212498,"sen_slope_scd"
"Guadalfeo",-1.72630170316302,1.70323685616265,0.0375724169429479,"sen_slope_scd"
"Adra",0.135086406743941,0.166148111808846,0.00539339594000803,"tau_scod"
"Andarax",0.16170725388601,0.179985747440795,0.00528912506369407,"tau_scod"
"Fardes",0.0850855895196507,0.176035760065609,0.00520233310289042,"tau_scod"
"Genil",0.177863342566944,0.15326219115374,0.00465715617469494,"tau_scod"
"Guadalfeo",0.117006812652068,0.165143155721061,0.00364296221020322,"tau_scod"
"Adra",1.35614857744995,1.88025428246289,0.0610356368351949,"sen_slope_scod"
"Andarax",1.26220725388601,2.08107484990491,0.0611552042568044,"sen_slope_scod"
"Fardes",0.732885589519651,1.57921898462794,0.0466701947228275,"sen_slope_scod"
"Genil",1.37889566020314,1.51921646893763,0.0461642124893923,"sen_slope_scod"
"Guadalfeo",1.03762725060827,1.7382246074701,0.0383442264392392,"sen_slope_scod"
"Adra",-0.183396206533193,0.168865702720282,0.00548161267403393,"tau_scmd"
"Andarax",-0.144014680483592,0.158398741816938,0.00465476165370905,"tau_scmd"
"Fardes",-0.20676943231441,0.174532625464448,0.00515791140760073,"tau_scmd"
"Genil",-0.13841458910434,0.136438671026478,0.00414594228657957,"tau_scmd"
"Guadalfeo",-0.201616058394161,0.175742046279797,0.00387676758716216,"tau_scmd"
"Adra",-1.63270600632244,1.90752215867586,0.0619207895538058,"sen_slope_scmd"
"Andarax",-1.39901122625216,1.98496463632976,0.0583308754045184,"sen_slope_scmd"
"Fardes",-1.96831790393013,2.10621182297849,0.0622442592590071,"sen_slope_scmd"
"Genil",-1.11177008310249,1.39908198834836,0.0425137032942782,"sen_slope_scmd"
"Guadalfeo",-1.81708856447689,1.90280893322449,0.0419748611845733,"sen_slope_scmd"
"Adra",-0.139984193888303,0.123502672389937,0.00400906639621868,"tau_scmc"
"Andarax",-0.174582901554404,0.13930724250578,0.0040937320780569,"tau_scmc"
"Fardes",-0.187932751091703,0.15658023095327,0.00462736956651778,"tau_scmc"
"Genil",-0.22667405355494,0.175761837738664,0.00534084970166743,"tau_scmc"
"Guadalfeo",-0.208950364963504,0.144846419920517,0.00319522799325054,"tau_scmc"
"Adra",-0.044595363540569,0.0672577903162706,0.0021832802628719,"sen_slope_scmc"
"Andarax",-0.0526416234887737,0.0742565472451483,0.00218212925613396,"sen_slope_scmc"
"Fardes",-0.0798200873362445,0.0918115227791548,0.00271327896106313,"sen_slope_scmc"
"Genil",-0.0990027700831025,0.10182727479661,0.00309421076392995,"sen_slope_scmc"
"Guadalfeo",-0.0854510948905109,0.0890929485073177,0.00196533875830706,"sen_slope_scmc"
